condition,frontend,feature,clinical,n,rho,p,q_global
rest,alpha_global,pivot_rate,disease_duration,116,-0.1255495234111355,0.1793089047276821,0.9534301174509907
rest,alpha_global,pivot_rate,ledd,115,0.012120587200523468,0.8977029691611869,0.9958760007869497
rest,alpha_global,pivot_rate,pigd_score,113,-0.006291345060273246,0.9472703688659418,0.9971683422099584
rest,alpha_global,pivot_rate,td_score,113,0.03279596248604787,0.7302128533352212,0.9930135882425856
rest,alpha_global,pivot_rate,ctt,109,-0.12894800698562636,0.1814439599105349,0.9534301174509907
rest,alpha_global,compound_pivot_fraction,updrs_part_iii,113,0.02532210487251347,0.7900640331540698,0.9930135882425856
rest,alpha_global,compound_pivot_fraction,updrs_total,113,-0.021607140172590564,0.8202995216075478,0.9930135882425856
rest,alpha_global,compound_pivot_fraction,moca,113,-0.12436205978020362,0.18938883841057846,0.9534301174509907
rest,alpha_global,compound_pivot_fraction,disease_duration,116,-0.04917633448323208,0.6001208069284327,0.9930135882425856
rest,alpha_global,compound_pivot_fraction,ledd,115,-0.08215587992781422,0.38273072827536286,0.9930135882425856
rest,alpha_global,compound_pivot_fraction,pigd_score,113,-0.04482829384131025,0.6373051048957312,0.9930135882425856
rest,alpha_global,compound_pivot_fraction,td_score,113,0.03161561048411912,0.7395684166113314,0.9930135882425856
rest,alpha_global,compound_pivot_fraction,ctt,109,-0.009183475342327947,0.9244936083330416,0.9971683422099584
rest,alpha_global,pivot_depth,updrs_part_iii,113,0.011007547412049803,0.9078789599166781,0.9958760007869497
rest,alpha_global,pivot_depth,updrs_total,113,-0.054319707339198324,0.5677093185449891,0.9930135882425856
rest,alpha_global,pivot_depth,moca,113,-0.06490738168171424,0.49459162159840264,0.9930135882425856
rest,alpha_global,pivot_depth,disease_duration,116,-0.017751597202462645,0.8499870746382716,0.9930135882425856
rest,alpha_global,pivot_depth,ledd,115,-0.07074593629486557,0.4524601950634795,0.9930135882425856
rest,alpha_global,pivot_depth,pigd_score,113,-0.027640691395584067,0.7713471800806693,0.9930135882425856
rest,alpha_global,pivot_depth,td_score,113,0.03397816554445867,0.7208821461588752,0.9930135882425856
rest,alpha_global,pivot_depth,ctt,109,-0.06502734869578844,0.5017174057624861,0.9930135882425856
rest,alpha_global,tree_span_events,updrs_part_iii,113,-0.0040772916678449,0.9658127586662962,0.9990000670218916
rest,alpha_global,tree_span_events,updrs_total,113,0.025606931818444534,0.7877580752714163,0.9930135882425856
rest,alpha_global,tree_span_events,moca,113,0.014716110392010835,0.8770551288533621,0.9958760007869497
rest,alpha_global,tree_span_events,disease_duration,116,0.00508780988616439,0.9567723963196555,0.9975641360184113
rest,alpha_global,tree_span_events,ledd,115,0.1375266609073174,0.14273772641361177,0.9534301174509907
rest,alpha_global,tree_span_events,pigd_score,113,-0.05059947293381275,0.5945594994581506,0.9930135882425856
rest,alpha_global,tree_span_events,td_score,113,-0.23455638951243651,0.012397097084867668,0.9534301174509907
rest,alpha_global,tree_span_events,ctt,109,-0.26799296310357773,0.004841406353587664,0.9534301174509907
rest,alpha_global,tree_span_time,updrs_part_iii,113,1.6643714686111988e-05,0.9998604037719845,0.9998604037719846
rest,alpha_global,tree_span_time,updrs_total,113,0.008594564572058304,0.928011219192082,0.9971683422099584
rest,alpha_global,tree_span_time,moca,113,-0.005274574950239904,0.9557827800543012,0.9971683422099584
rest,alpha_global,tree_span_time,disease_duration,116,-0.03061151775065529,0.7442714509238828,0.9930135882425856
rest,alpha_global,tree_span_time,ledd,115,0.12359765242898323,0.1881707438706053,0.9534301174509907
rest,alpha_global,tree_span_time,pigd_score,113,-0.052899171975887845,0.5778940736234026,0.9930135882425856
rest,alpha_global,tree_span_time,td_score,113,-0.2451643710089754,0.008864757563134311,0.9534301174509907
rest,alpha_global,tree_span_time,ctt,109,-0.23121015006310178,0.015565474542792834,0.9534301174509907
rest,alpha_global,tree_root_fraction,updrs_part_iii,113,0.020270281048367377,0.8312473055884475,0.9930135882425856
rest,alpha_global,tree_root_fraction,updrs_total,113,-0.03724921050259087,0.6952814164218921,0.9930135882425856
rest,alpha_global,tree_root_fraction,moca,113,-0.1462722271721104,0.1221204817165552,0.9534301174509907
rest,alpha_global,tree_root_fraction,disease_duration,116,-0.13478103669372044,0.14915958880913666,0.9534301174509907
rest,alpha_global,tree_root_fraction,ledd,115,-0.14339296326929377,0.12630613356497974,0.9534301174509907
rest,alpha_global,tree_root_fraction,pigd_score,113,0.13648965381382908,0.1494354849551483,0.9534301174509907
rest,alpha_global,tree_root_fraction,td_score,113,0.043186861208299995,0.6496918944426967,0.9930135882425856
rest,alpha_global,tree_root_fraction,ctt,109,0.10812645254574042,0.26307895615182325,0.981317528909416
rest,alpha_global,tree_ascending_fraction,updrs_part_iii,113,-0.12414464817850178,0.19016980412434856,0.9534301174509907
rest,alpha_global,tree_ascending_fraction,updrs_total,113,-0.13675963419244347,0.148624585874942,0.9534301174509907
rest,alpha_global,tree_ascending_fraction,moca,113,0.033593108129116964,0.7239168459453558,0.9930135882425856
rest,alpha_global,tree_ascending_fraction,disease_duration,116,-0.18962495305253038,0.041475779590433706,0.9534301174509907
rest,alpha_global,tree_ascending_fraction,ledd,115,-0.0423136731486267,0.653426080660702,0.9930135882425856
