modality,condition,feature,n,mean_change,t,p,paired_dz,q_fdr
gait,late_abrupt,tree_span_events,30,0.003948177426438271,0.050196119546325114,0.9603102466707203,0.009164515658249417,0.9603102466707204
gait,late_abrupt,tree_span_time,30,0.005010086060527619,0.1843019057949226,0.855059371026763,0.033648770398357064,0.9020406551491127
gait,late_abrupt,tree_root_fraction,30,-0.004166666666666665,-0.5007199427774977,0.6203474775956459,-0.09141853588397715,0.7753840020615368
gait,late_abrupt,tree_ascending_fraction,30,-0.03602578580839452,-1.7623305030247411,0.08855211113768457,-0.3217560567620257,0.19769773649343533
gait,late_abrupt,occ_L1,30,0.0,,,,
gait,late_abrupt,occ_L2,30,-0.013888888888888892,-3.339737437860371,0.002316228855839514,-0.6097498436202111,0.010588474769552063
gait,late_abrupt,occ_L3,30,-0.04027777777777778,-4.454726601804727,0.00011505954180386738,-0.8133180824422609,0.0013807145016464086
gait,late_abrupt,occ_L4,30,-0.049999999999999996,-4.615855548972432,7.36890479696078e-05,-0.8427360687858644,0.0013807145016464086
gait,late_abrupt,occ_L5,30,-0.031944444444444435,-2.9349105895145575,0.00646456425031875,-0.5358389113793028,0.025858257001275
gait,late_abrupt,occ_L6,30,-0.004166666666666665,-0.48688522334164824,0.6299995016749986,-0.08889267324672052,0.7753840020615368
gait,late_abrupt,occ_L7,30,0.018055555555555554,1.4347051377977813,0.16206829881084137,0.26194012244680087,0.2802075389993816
gait,late_abrupt,occ_L8,30,0.027777777777777776,1.532376630483453,0.13626722826058,0.2797724157031819,0.2642802204671921
gait,late_abrupt,occ_L9,30,-0.019444444444444438,-0.8970190976830723,0.37709540222424304,-0.16377253143798295,0.5403158002019005
gait,late_abrupt,occ_L10,30,0.00694444444444444,0.2979826024339966,0.7678409276983529,0.05440393103239792,0.8604372426030094
gait,late_abrupt,occ_L11,30,0.0013888888888888874,0.13261378514205382,0.8954147236044903,0.024211853852815438,0.9198278560742836
gait,late_abrupt,occ_L12,30,0.0,,,,
gait,early_gradual,mean_H,30,0.07916666666666666,1.1057489468432389,0.2779243747556139,0.2018812137078743,0.41047292271598357
gait,early_gradual,sd_H,30,-0.20893225071477808,-3.3709858664994132,0.0021358258995118153,-0.615455000037609,0.010588474769552063
gait,early_gradual,mean_D,30,-0.05972222222222224,-2.336628120699253,0.026575166378918675,-0.4266079767359616,0.07289188492503408
gait,early_gradual,sd_D,30,-0.1620215451589147,-2.3913218370570704,0.023496609755332895,-0.43659363747028357,0.06846503667373112
gait,early_gradual,mean_lambda,30,0.13888888888888884,1.5137381831011951,0.1409158063285626,0.27636951634713663,0.2652532825008237
gait,early_gradual,sd_lambda,30,-0.3373193168547795,-3.230998415275879,0.003065406178743558,-0.5898969051033477,0.012824411734828517
gait,early_gradual,multilevel,30,-0.030555555555555558,-2.3906032111906503,0.02353485635659507,-0.43646243493780196,0.06846503667373112
gait,early_gradual,pivot_rate,30,-0.006944444444444444,-0.6136964857512032,0.544200144464859,-0.11204513623586056,0.7059893766030603
gait,early_gradual,compound_pivot_fraction,30,-0.06533068783068784,-1.4354478865596048,0.16185835478593347,-0.2620757291972708,0.2802075389993816
gait,early_gradual,pivot_depth,30,-0.3492857142857143,-2.30361954354053,0.02860617112733839,-0.4205814626356341,0.0762831230062357
gait,early_gradual,tree_span_events,30,-0.08890739695087523,-1.1113697873819217,0.27553858430732625,-0.20290743409293294,0.41047292271598357
