frontend,condition,change,feature,n,rho,p,q_global
theta_global,late_abrupt,False,mean_H,30,-0.0878728531204873,0.6442654469938304,0.989854645308112
theta_global,late_abrupt,False,sd_H,30,0.09768580329327994,0.607571367320524,0.989854645308112
theta_global,late_abrupt,False,mean_D,30,0.016062624967394648,0.9328612248589623,0.9920481792692906
theta_global,late_abrupt,False,sd_D,30,0.016062624967394648,0.9328612248589623,0.9920481792692906
theta_global,late_abrupt,False,mean_lambda,30,-0.05516326004916337,0.7721807364114799,0.989854645308112
theta_global,late_abrupt,False,sd_lambda,30,0.13727889727844458,0.4694381447214409,0.9894404911404886
theta_global,late_abrupt,False,multilevel,30,0.024246432248443597,0.8987990307388148,0.9918654087973819
theta_global,late_abrupt,False,pivot_rate,30,-0.013229508529063516,0.9446832461194348,0.9920481792692906
theta_global,late_abrupt,False,compound_pivot_fraction,30,0.22717897316271088,0.2273161538084328,0.9894404911404886
theta_global,late_abrupt,False,pivot_depth,30,0.16567714422518923,0.3815949627847859,0.9894404911404886
theta_global,late_abrupt,False,tree_span_events,30,0.1399755037329124,0.4606700911457837,0.9894404911404886
theta_global,late_abrupt,False,tree_span_time,30,0.05740349351351491,0.7631853460231462,0.989854645308112
theta_global,late_abrupt,False,tree_root_fraction,30,-0.02046542699703964,0.9145178703490604,0.9920481792692906
theta_global,late_abrupt,False,tree_ascending_fraction,30,0.4000674559477017,0.02848381034658765,0.9894404911404886
theta_global,late_abrupt,False,occ_L2,30,,,
theta_global,late_abrupt,False,occ_L3,30,-0.08304547985373997,0.6626291283867577,0.989854645308112
theta_global,late_abrupt,False,occ_L4,30,-0.16609095970747992,0.38039017042693035,0.9894404911404886
theta_global,late_abrupt,False,occ_L5,30,0.21653385350190565,0.2504285676138484,0.9894404911404886
theta_global,late_abrupt,False,occ_L6,30,-0.12990031361161813,0.49386874772933165,0.9894404911404886
theta_global,late_abrupt,False,occ_L7,30,-0.1545272391155282,0.41488285916277645,0.9894404911404886
theta_global,late_abrupt,False,occ_L8,30,0.01427446698904817,0.9403213736695463,0.9920481792692906
theta_global,late_abrupt,False,occ_L9,30,-0.1970479287130064,0.29662761533880244,0.9894404911404886
theta_global,late_abrupt,False,occ_L10,30,-0.1936964900762719,0.30508331724822935,0.9894404911404886
theta_global,late_abrupt,False,occ_L11,30,0.09809085815203213,0.606075833758456,0.989854645308112
theta_global,early_gradual,False,mean_H,30,0.14784166095584933,0.4355951885351002,0.9894404911404886
theta_global,early_gradual,False,sd_H,30,-0.09893167148898288,0.6029763864798261,0.989854645308112
theta_global,early_gradual,False,mean_D,30,0.0589058901536178,0.7571694610516934,0.989854645308112
theta_global,early_gradual,False,sd_D,30,0.05885919502923319,0.7573562300709201,0.989854645308112
theta_global,early_gradual,False,mean_lambda,30,0.13275929966747385,0.4843270427633656,0.9894404911404886
theta_global,early_gradual,False,sd_lambda,30,-0.06265301735417143,0.7422264004916377,0.989854645308112
